"","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"9471"," Civilian"," Adult - Male"," Aleppo"," Bab Nayrab",2012-08-06," Shooting","Aleppo"
"9472"," Civilian"," Adult - Female"," Aleppo"," Marjeh",2012-08-06," Shelling","Aleppo"
"9473"," Civilian"," Adult - Male"," Aleppo"," Shaar",2012-08-06," Shelling","Aleppo"
"9474"," Civilian"," Adult - Male"," Aleppo"," Shaar",2012-08-06," Warplane shelling","Aleppo"
"9475"," Civilian"," Adult - Male"," Aleppo"," Shaar",2012-08-06," Warplane shelling","Aleppo"
"9476"," Civilian"," Child - Male"," Damascus Suburbs"," Kafr Batna",2012-08-06," Shelling","Rif Dimashq"
"9477"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9478"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9479"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9480"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9481"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9482"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9483"," Civilian"," Child - Male"," Homs"," Talbiseh",2012-08-06," Shelling","Hims"
"9484"," Civilian"," Adult - Male"," Hama"," Sabuniah",2012-08-06," Shooting","Hamah"
"9485"," Civilian"," Child - Male"," Homs"," Talbiseh",2012-08-06," Detention - Torture","Hims"
"9486"," Non-Civilian"," Adult - Male"," Homs"," Rastan",2012-08-06," Shooting","Hims"
"9487"," Civilian"," Adult - Male"," Damascus"," Jobar",2012-08-06," Shooting","Damascus"
"9488"," Civilian"," Adult - Male"," Aleppo"," Sakhour",2012-08-06," Warplane shelling","Aleppo"
"9489"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9490"," Non-Civilian"," Adult - Male"," Aleppo"," Sukari",2012-08-06," Shooting","Aleppo"
"9491"," Civilian"," Adult - Male"," Aleppo"," ",2012-08-06," Shooting","Aleppo"
